Table of Intel 8080 Opcodes

========================================================================================================================

Hex   Instruction   Bit Pattern	(1st byte)	Size	Flags		Description
0xB5  ORA L	    [ 1 0 1 1  0 1 0 1 ]	1	Z,S,P,CY,AC	(A) <- (A) | (L)
0xB6  ORA M	    [ 1 0 1 1  0 1 1 0 ]	1	Z,S,P,CY,AC	(A) <- (A) | ((H) (L))
0xB7  ORA A	    [ 1 0 1 1  0 1 1 1 ]	1	Z,S,P,CY,AC	(A) <- (A) | (A)
0xB8  CMP B	    [ 1 0 1 1  1 0 0 0 ]	1	Z,S,P,CY,AC	(A) - (B)
0xB9  CMP C	    [ 1 0 1 1  1 0 0 1 ]	1	Z,S,P,CY,AC	(A) - (C)
0xBA  CMP D	    [ 1 0 1 1  1 0 1 0 ]	1	Z,S,P,CY,AC	(A) - (D)
0xBB  CMP E	    [ 1 0 1 1  1 0 1 1 ]	1	Z,S,P,CY,AC	(A) - (E)
0xBC  CMP H	    [ 1 0 1 1  1 1 0 0 ]	1	Z,S,P,CY,AC	(A) - (H)
0xBD  CMP L	    [ 1 0 1 1  1 1 0 1 ]	1	Z,S,P,CY,AC	(A) - (L)
0xBE  CMP M	    [ 1 0 1 1  1 1 1 0 ]	1	Z,S,P,CY,AC	(A) - ((H) (L))
0xBF  CMP A	    [ 1 0 1 1  1 1 1 1 ]	1	Z,S,P,CY,AC	(A) - (A)
0xC0  RNZ	    [ 1 1 0 0  0 0 0 0 ]	1	-		If (Z = 0), RET
0xC1  POP B	    [ 1 1 0 0  0 0 0 1 ]	1	-		(C) <- ((SP)); (B) <- ((SP) + 1); (SP) <- (SP) + 2 
0xC2  JNZ A16	    [ 1 1 0 0  0 0 1 0 ]	3	-		If (Z = 1), PC <- (byte 3)(byte 2)
0xC3  JMP A16	    [ 1 1 0 0  0 0 1 1 ]	3	-		(PC) <- (byte 3)(byte 2)
0xC4  CNZ A16	    [ 1 1 0 0  0 1 0 0 ]	3	-		If (Z = 0), CALL a16
0xC5  PUSH B	    [ 1 1 0 0  0 1 0 1 ]	1	-		((SP) - 1) <- (B); ((SP) - 1 <- (C)); (SP) <- (SP) - 2
0xC6  ADI D8	    [ 1 1 0 0  0 1 1 0 ]	2	Z,S,P,CY,AC	(A) <- (A) + (byte 2)
0xC7  RST 0	    [ 1 1 0 0  0 1 1 1 ]	1	-		CALL 0x00
0xC8  RZ	    [ 1 1 0 0  1 0 0 0 ]	1	-		If (Z = 1), RET
0xC9  RET 	    [ 1 1 0 0  1 0 0 1 ]	1	-		(PCL) <- (SP); (PCH) <- (SP + 1); (SP) <- (SP) + 2
0xCA  JZ  A16	    [ 1 1 0 0  1 0 1 0 ]	3	-		If (Z = 0), PC <- (byte 3)(byte 2)
0xCB
0xCC  CZ A16	    [ 1 1 0 0  1 1 0 0 ]	3	-		If (Z = 1), CALL a16
0xCD  CALL A16	    [ 1 1 0 0  1 1 0 1 ]	3	-		((SP) - 1) <- PCH; ((SP) - 2) <- PCL; (SP) <- (SP) - 2; PC <- (byte 3)(byte2)
0xCE  ACI D8	    [ 1 1 0 0  1 1 1 0 ]	2	Z,S,P,CY,AC	(A) <- (A) + (byte 2) + (CY)
0xCF  RST 1	    [ 1 1 0 0  1 1 1 1 ]	1	-		CALL 0x08
0xD0  RNC	    [ 1 1 0 1  0 0 0 0 ]	1	-		If (CY = 0), RET
0xD1  POP C	    [ 1 1 0 1  0 0 0 1 ]	1	-		(D) <- ((SP)); (E) <- ((SP) + 1); (SP) <- (SP) + 2 
0xD2  JNC A16	    [ 1 1 0 1  0 0 1 0 ]	3	-		If (CY = 0), PC <- (byte 3)(byte 2)
0xD3  OUT P8	    [ 1 1 0 1  0 0 1 1 ]	2	-		(data) <- (A)
0xD4  CNC A16	    [ 1 1 0 1  0 1 0 0 ]	3	-		If (CY = 0), CALL a16
0xD5  PUSH D	    [ 1 1 0 1  0 1 0 1 ]	1	-		((SP) - 1) <- (D); ((SP) - 1 <- (E)); (SP) <- (SP) - 2
0xD6  SUI D8	    [ 1 1 0 1  0 1 1 0 ]	2	Z,S,P,CY,AC	(A) <- (A) - (byte 2)
0xD7  RST 2	    [ 1 1 0 1  0 1 1 1 ]	1	-		CALL 0x10
0xD8  RC	    [ 1 1 0 1  1 0 0 0 ]	1	-		If (CY = 1), RET

0xDA  JC  A16	    [ 1 1 0 1  1 0 1 0 ]	3	-		If (CY = 1), PC <- (byte 3)(byte 2)
0xDB  IN P8	    [ 1 1 0 1  1 0 1 1 ]	2	-		(A) <- (data)
0xDC  CC A16	    [ 1 1 0 1  1 1 0 0 ]	3	-		If (CY = 1), CALL a16
0xDD  *CALL A16
0xDE  SBI D8	    [ 1 1 0 1  1 1 1 0 ]	2	Z,S,P,CY,AC	(A) <- (A) - (byte 2) - (CY)
0xDF  RST 3	    [ 1 1 0 1  1 1 1 1 ]	1	-		CALL 0x18
0xE0  RPO	    [ 1 1 1 0  0 0 0 0 ]	1	-		If (P = 0), RET
0xE1  POP H	    [ 1 1 1 0  0 0 0 1 ]	1	-		(H) <- ((SP)); (L) <- ((SP) + 1); (SP) <- (SP) + 2 
0xE2  JPO A16	    [ 1 1 1 0  0 0 1 0 ]	3	-		If (P = 0), PC <- (byte 3)(byte 2)
0xE3  XTHL	    [ 1 1 1 0  0 0 1 1 ]	1	-		(L) <- ((SP)); (H) <- ((SP) + 1)
0xE4  CPO A16	    [ 1 1 1 0  0 1 0 0 ]	3	-		If (P = 0), CALL a16
0xE5  PUSH H	    [ 1 1 1 0  0 1 0 1 ]	1	-		((SP) - 1) <- (H); ((SP) - 2) <- (L); (SP) <- (SP) - 2
0xE6  ANI D8	    [ 1 1 1 0  0 1 1 0 ]	2	Z,S,P,CY,AC	(A) <- (A) & (byte 2)
0xE7  RST 4	    [ 1 1 1 0  0 1 1 1 ]	1	-		CALL 0x20
0xE8  RPE	    [ 1 1 1 0  1 0 0 0 ]	1	-		If (P = 1), RET
0xE9  PCHL	    [ 1 1 1 0  1 0 0 1 ]	1	-		(PCH) <- (H); (PCL) <- (L)
0xEA  JPE A16 	    [ 1 1 1 0  1 0 1 0 ]	3	-		If (P = 1), PC <- (byte 3)(byte 2)
0xEB  XCHG   	    [ 1 1 1 0  1 0 1 1 ]	1	-		(H) <-> (D), (L) <-> (E)
0xEC  CPE A16	    [ 1 1 1 0  1 1 0 0 ]	3	-		If (P = 1), CALL a16

0xEE  XRI D8	    [ 1 1 1 0  1 1 1 0 ]	2	Z,S,P,CY,AC	(A) <- (A) ^ (byte 2))
0xEF  RST 5	    [ 1 1 1 0  1 1 1 1 ]	-	-		CALL 0x28
0xF0  RP	    [ 1 1 1 1  0 0 0 0 ]	1	-		If (S = 0), RET
0xF1  POP PSW	    [ 1 1 1 1  0 0 0 1 ]	1	-		(Flags) <- ((SP)); (A) <- ((SP) + 1); (SP) <- (SP) + 2 
0xF2  JP  A16	    [ 1 1 1 1  0 0 1 0 ]	3	-		If (S = 0), PC <- (byte 3)(byte 2)
0xF3  DI  	    [ 1 1 1 1  0 0 1 1 ]	1	-		Disable interrupts immediately following DI instruction
0xF4  CP A16	    [ 1 1 1 1  0 1 0 0 ]	3	-		If (S = 0), CALL a16
0xF5  PUSH PSW	    [ 1 1 1 1  0 1 0 1 ]	1	-		((SP) - 1) <- (A); ((SP) - 2) <- (Flag byte); (SP) <- (SP) - 2
0xF6  ORI D8	    [ 1 1 1 1  0 1 1 0 ]	2	Z,S,P,CY,AC	(A) <- (A) | (byte 2)
0xF7  RST 6	    [ 1 1 1 1  0 1 1 1 ]	1	-		CALL 0x30
0xF8  RM	    [ 1 1 1 1  1 0 0 0 ]	1	-		If (S = 1), RET
0xF9  SPHL	    [ 1 1 1 1  1 0 0 1 ]	1	-		(SP) = (H)(L)
0xFA  JM  A16	    [ 1 1 1 1  1 0 1 0 ]	3	-		If (S = 1), PC <- (byte 3)(byte 2)
0xFB  EI  	    [ 1 1 1 1  1 0 1 1 ]	1	-		Enable interrupts following next instruction
0xFC  CM A16	    [ 1 1 1 1  1 1 0 0 ]	3	-		If (S = 1), CALL a16

0xFE  CPI D8 	    [ 1 1 1 1  1 1 1 0 ]	2	Z,S,P,CY,AC	(A) - (byte 2)
0xFF  RST 7	    [ 1 1 1 1  1 1 1 1 ]	1	-		CALL 0x38
